Model,Color,License_plate,Make,Year
Cavalier,Blue,ZFF60FCA8A0130855,Chevrolet,1996
Explorer,Fuscia,4T1BF1FK2DU687238,Ford,2005
Civic,Blue,WAUAF78E38A260455,Honda,1998
CL-Class,Maroon,WAUVT68E85A867497,Mercedes-Benz,2009
Express 2500,Fuscia,WP0CB2A86CS788024,Chevrolet,1996
Safari,Turquoise,JTDKN3DU6F0630249,GMC,2000
Pathfinder,Blue,WAUAF78E97A903499,Nissan,2009
Tiburon,Crimson,4T1BF1FK6CU640146,Hyundai,2007
xB,Fuscia,WBAYB6C59FD585635,Scion,2004
Tucson,Puce,5FPYK1F28AB683815,Hyundai,2006
LHS,Orange,5N1BA0NDXFN991488,Chrysler,1994
Savana 3500,Indigo,1G6DS5E30D0575350,GMC,2010
Z4,Fuscia,3C3CFFDR3CT222454,BMW,2006
Rio,Red,3D7TT2CTXBG879582,Kia,2007
CR-V,Aquamarine,WAUMFAFL6BN140001,Honda,1998
Defender,Khaki,SCFFDAAE0AG876723,Land Rover,1993
MDX,Violet,WBANV13579B885591,Acura,2002
300,Yellow,5XYKT3A6XEG738376,Chrysler,2006
Rogue,Yellow,5N1AR1NB1BC124043,Nissan,2010
Fiero,Puce,1G4HK5E94AU679293,Pontiac,1986
Altima,Fuscia,1GYS3EEJ7BR698260,Nissan,1997
Sebring,Turquoise,1G6DV8EP5E0838557,Chrysler,1996
Grand Vitara,Red,WP0CA2A83AS384856,Suzuki,2012
F-Series,Red,1FTEW1CW5AK396603,Ford,2005
1 Series,Green,5UXZV4C52D0734196,BMW,2012
Talon,Goldenrod,TRUUT28N611322177,Eagle,1996
S4,Green,WBAVC73578K730188,Audi,1994
V70,Aquamarine,JTEBU5JR5F5724667,Volvo,2001
Pacifica,Violet,WAUKG74F26N953166,Chrysler,2008
XK Series,Purple,SCBLF34F52C385328,Jaguar,2013
Outback,Khaki,WUAGNAFG6CN851028,Subaru,2012
M,Crimson,1GYS3AEF9DR339838,Infiniti,2004
RAV4,Teal,WDDHF0EB1EA732074,Toyota,2010
Durango,Khaki,WAUDGBFL8AA150036,Dodge,2005
Mazda6,Fuscia,WBAUN1C55DV742545,Mazda,2012
Grand Am,Teal,1G4HP54KX34266237,Pontiac,1996
Gallardo,Crimson,WAUMF68P76A849790,Lamborghini,2009
V70,Green,WAUEV94F87N549014,Volvo,2009
Escalade EXT,Fuscia,1N6AA0CJ5EN968978,Cadillac,2010
Cavalier,Puce,4T1BF1FK8CU155877,Chevrolet,1993
2500 Club Coupe,Aquamarine,WBAGN83453D591224,GMC,1992
Lynx,Pink,WP0AA2A95AS831350,Mercury,1987
3500,Mauv,TRUWC28N921866599,GMC,1995
929,Turquoise,3C6LD4AT1CG423517,Mazda,1995
Envoy,Violet,JHMZE2H70ES293060,GMC,2004
Corvette,Pink,JHMFB4F28CS767560,Chevrolet,1998
Protege,Maroon,WAUSF98K59A188567,Mazda,2003
GLI,Fuscia,3VWJX7AJ8AM020069,Volkswagen,2008
Econoline E150,Blue,KNDPB3A22B7751976,Ford,1995
929,Khaki,1G6DK5EY7B0365658,Mazda,1989
Quattroporte,Blue,1FTEW1CF0FF979841,Maserati,1985
Rodeo,Teal,SCBGR3ZA2DC213833,Isuzu,1999
Colt,Pink,JTDKN3DU7A0226420,Dodge,1993
Panamera,Indigo,1GT01ZCG6CF460405,Porsche,2013
Sunbird,Aquamarine,WDDGF4HB8DF685643,Pontiac,1992
Accord,Maroon,WAUBVAFB7BN189225,Honda,1984
Oasis,Green,3D73M4CL4AG609254,Isuzu,1998
Escort,Pink,1G4HP52K33U555673,Ford,1996
Windstar,Indigo,JH4DC43641S429050,Ford,2001
Echo,Yellow,JN8AZ2NC5C9567883,Toyota,2005
Camry,Green,1G6AR5S38E0171099,Toyota,1997
4Runner,Maroon,WAUWKAFR4AA141369,Toyota,2000
MX-5,Orange,5XXGM4A77CG416796,Mazda,1999
Accent,Mauv,WBABN534X1J105983,Hyundai,2001
Accord,Purple,KNAFU5A29B5465973,Honda,2005
CTS,Puce,JN8AF5MR2FT247170,Cadillac,2004
Azera,Fuscia,1GYEE637690247744,Hyundai,2006
Mighty Max Macro,Mauv,3D73M4EL6BG549072,Mitsubishi,1994
Cougar,Violet,5TDDCRFH2FS915609,Mercury,1992
Versa,Blue,WBANB53546C207709,Nissan,2011
Cougar,Maroon,19UUA8F21AA799791,Mercury,1991
M6,Pink,WUARL48H26K557010,BMW,2010
Concorde,Yellow,WA1LGBFE3CD598633,Chrysler,2004
Altima,Pink,WAUNF78P06A865937,Nissan,2003
L300,Pink,4T3BA3BB6BU514066,Mitsubishi,1987
Rapide,Crimson,1D4PU4GK8AW844726,Aston Martin,2012
Outback,Red,SCFEFBAC8AG569245,Subaru,2012
D350 Club,Crimson,JTJYWRBZ7F2547228,Dodge,1993
Land Cruiser,Fuscia,3D73M3CL9BG272995,Toyota,2004
Eldorado,Blue,JN1AZ4EH2AM552550,Cadillac,1997
Ridgeline,Purple,3FAHP0GA4AR010017,Honda,2008
Yukon XL 2500,Puce,WBAWL73547P227868,GMC,2001
Prizm,Turquoise,1GD12ZCG2CF323538,Chevrolet,1998
Diablo,Teal,1G6DG8E39E0083159,Lamborghini,2000
Aurora,Violet,WAUML44E66N090656,Oldsmobile,1998
Prelude,Turquoise,1G6AB5RX2F0201762,Honda,1992
CL-Class,Fuscia,WAUPN94E68N856215,Mercedes-Benz,2004
IS-F,Puce,WAUSF98E46A891227,Lexus,2012
Tucson,Blue,WAUKFAFL5CN212041,Hyundai,2010
9-5,Red,WBAUP7C54AV033405,Saab,1999
H3,Mauv,1D7CW5GK9AS237131,Hummer,2008
Express 2500,Aquamarine,WBAVC935X7K524695,Chevrolet,2008
MR2,Indigo,1G6DV1EPXE0239340,Toyota,1986
